id,symbol,date,close_price,volume
31,AAPL,2026-05-01 00:00:00-04:00,279.88214111328125,79915400
32,AAPL,2026-05-04 00:00:00-04:00,276.5751647949219,46668400
33,AAPL,2026-05-05 00:00:00-04:00,283.9184265136719,49311700
34,AAPL,2026-05-06 00:00:00-04:00,287.245361328125,58336100
35,AAPL,2026-05-07 00:00:00-04:00,287.1754150390625,45224300
36,AAPL,2026-05-08 00:00:00-04:00,293.0500183105469,52692800
37,AAPL,2026-05-11 00:00:00-04:00,292.67999267578125,42247300
38,AAPL,2026-05-12 00:00:00-04:00,294.79998779296875,45748100
39,AAPL,2026-05-13 00:00:00-04:00,298.8699951171875,52684300
40,AAPL,2026-05-14 00:00:00-04:00,298.2099914550781,35324900
41,AAPL,2026-05-15 00:00:00-04:00,300.2300109863281,54862800
42,AAPL,2026-05-18 00:00:00-04:00,297.8399963378906,34483000
43,AAPL,2026-05-19 00:00:00-04:00,298.9700012207031,42243600
44,AAPL,2026-05-20 00:00:00-04:00,302.25,38229800
45,AAPL,2026-05-21 00:00:00-04:00,304.989990234375,42965100
46,AAPL,2026-05-22 00:00:00-04:00,308.82000732421875,43670200
47,AAPL,2026-05-26 00:00:00-04:00,308.3299865722656,48000500
48,AAPL,2026-05-27 00:00:00-04:00,310.8500061035156,50430900
49,AAPL,2026-05-28 00:00:00-04:00,312.510009765625,48220400
50,AAPL,2026-05-29 00:00:00-04:00,312.0599975585937,70026800
51,AAPL,2026-06-01 00:00:00-04:00,306.3099975585937,48849900
52,AAPL,2026-06-02 00:00:00-04:00,315.20001220703125,44534700
53,AAPL,2026-06-03 00:00:00-04:00,310.260009765625,50836700
54,AAPL,2026-06-04 00:00:00-04:00,311.2300109863281,44869100
55,AAPL,2026-06-05 00:00:00-04:00,307.3399963378906,65310500
56,AAPL,2026-06-08 00:00:00-04:00,301.5400085449219,77949100
57,AAPL,2026-06-09 00:00:00-04:00,290.54998779296875,70108800
58,AAPL,2026-06-10 00:00:00-04:00,291.5799865722656,52793300
59,AAPL,2026-06-11 00:00:00-04:00,295.6300048828125,42572500
60,AAPL,2026-06-12 00:00:00-04:00,291.1300048828125,38742100
121,AAPL,2026-06-16 00:00:00-04:00,299.2300109863281,14638960
61,MSFT,2026-05-01 00:00:00-04:00,413.5443115234375,31372400
62,MSFT,2026-05-04 00:00:00-04:00,412.72607421875,28066500
63,MSFT,2026-05-05 00:00:00-04:00,410.4909362792969,25700900
64,MSFT,2026-05-06 00:00:00-04:00,413.0653381347656,30285900
65,MSFT,2026-05-07 00:00:00-04:00,419.8606262207031,34942400
66,MSFT,2026-05-08 00:00:00-04:00,414.2228393554688,33383800
67,MSFT,2026-05-11 00:00:00-04:00,411.7681579589844,35657900
68,MSFT,2026-05-12 00:00:00-04:00,406.8887023925781,38594200
69,MSFT,2026-05-13 00:00:00-04:00,404.3342590332031,29667100
70,MSFT,2026-05-14 00:00:00-04:00,408.5451354980469,27077500
71,MSFT,2026-05-15 00:00:00-04:00,421.0081481933594,50771200
72,MSFT,2026-05-18 00:00:00-04:00,422.6246643066406,32564100
73,MSFT,2026-05-19 00:00:00-04:00,416.5178833007813,33018700
74,MSFT,2026-05-20 00:00:00-04:00,420.1499938964844,27864000
75,MSFT,2026-05-21 00:00:00-04:00,419.0899963378906,31393500
76,MSFT,2026-05-22 00:00:00-04:00,418.5700073242188,22390300
77,MSFT,2026-05-26 00:00:00-04:00,416.0299987792969,30398000
78,MSFT,2026-05-27 00:00:00-04:00,412.6700134277344,28901500
79,MSFT,2026-05-28 00:00:00-04:00,426.989990234375,47250500
80,MSFT,2026-05-29 00:00:00-04:00,450.239990234375,79654400
81,MSFT,2026-06-01 00:00:00-04:00,460.5199890136719,53628900
82,MSFT,2026-06-02 00:00:00-04:00,441.30999755859375,37036800
83,MSFT,2026-06-03 00:00:00-04:00,427.3399963378906,39037000
84,MSFT,2026-06-04 00:00:00-04:00,428.0499877929688,26899500
85,MSFT,2026-06-05 00:00:00-04:00,416.6700134277344,34782200
86,MSFT,2026-06-08 00:00:00-04:00,411.739990234375,32086700
87,MSFT,2026-06-09 00:00:00-04:00,403.4100036621094,35317300
88,MSFT,2026-06-10 00:00:00-04:00,397.3599853515625,32576000
89,MSFT,2026-06-11 00:00:00-04:00,390.3399963378906,47224100
90,MSFT,2026-06-12 00:00:00-04:00,390.739990234375,34865800
122,MSFT,2026-06-16 00:00:00-04:00,392.385009765625,12528227
91,NVDA,2026-05-01 00:00:00-04:00,198.21897888183597,128647000
92,NVDA,2026-05-04 00:00:00-04:00,198.2489318847656,125368100
93,NVDA,2026-05-05 00:00:00-04:00,196.271240234375,113406600
94,NVDA,2026-05-06 00:00:00-04:00,207.5880584716797,188362800
95,NVDA,2026-05-07 00:00:00-04:00,211.2537841796875,168307900
96,NVDA,2026-05-08 00:00:00-04:00,214.9494781494141,136421400
97,NVDA,2026-05-11 00:00:00-04:00,219.18453979492188,160685800
98,NVDA,2026-05-12 00:00:00-04:00,220.52297973632807,159176600
99,NVDA,2026-05-13 00:00:00-04:00,225.56710815429688,150405400
100,NVDA,2026-05-14 00:00:00-04:00,235.465576171875,180782900
101,NVDA,2026-05-15 00:00:00-04:00,225.0577087402344,180977600
102,NVDA,2026-05-18 00:00:00-04:00,222.0612030029297,146280900
103,NVDA,2026-05-19 00:00:00-04:00,220.35317993164065,140948200
104,NVDA,2026-05-20 00:00:00-04:00,223.20985412597656,184201600
105,NVDA,2026-05-21 00:00:00-04:00,219.25445556640625,203381800
106,NVDA,2026-05-22 00:00:00-04:00,215.07933044433597,169275700
107,NVDA,2026-05-26 00:00:00-04:00,214.60987854003903,187202600
108,NVDA,2026-05-27 00:00:00-04:00,212.35250854492188,167601200
109,NVDA,2026-05-28 00:00:00-04:00,214.0005798339844,143996000
110,NVDA,2026-05-29 00:00:00-04:00,210.8942108154297,289410600
111,NVDA,2026-06-01 00:00:00-04:00,224.09881591796875,212850700
112,NVDA,2026-06-02 00:00:00-04:00,222.56060791015625,193362900
113,NVDA,2026-06-03 00:00:00-04:00,214.5,160907000
114,NVDA,2026-06-04 00:00:00-04:00,218.66000366210935,169022200
115,NVDA,2026-06-05 00:00:00-04:00,205.1000061035156,219655500
116,NVDA,2026-06-08 00:00:00-04:00,208.63999938964844,138372800
117,NVDA,2026-06-09 00:00:00-04:00,208.19000244140625,180962500
118,NVDA,2026-06-10 00:00:00-04:00,200.4199981689453,161746600
119,NVDA,2026-06-11 00:00:00-04:00,204.8699951171875,158643200
120,NVDA,2026-06-12 00:00:00-04:00,205.19000244140625,112001800
123,NVDA,2026-06-16 00:00:00-04:00,209.5399932861328,56177860
1,TSLA,2026-05-01 00:00:00-04:00,390.8200073242188,65338300
2,TSLA,2026-05-04 00:00:00-04:00,392.510009765625,48765100
3,TSLA,2026-05-05 00:00:00-04:00,389.3699951171875,47780600
4,TSLA,2026-05-06 00:00:00-04:00,398.7300109863281,53465400
5,TSLA,2026-05-07 00:00:00-04:00,411.7900085449219,64294200
6,TSLA,2026-05-08 00:00:00-04:00,428.3500061035156,65050000
7,TSLA,2026-05-11 00:00:00-04:00,445.0,78376100
8,TSLA,2026-05-12 00:00:00-04:00,433.4500122070313,60569300
9,TSLA,2026-05-13 00:00:00-04:00,445.2699890136719,68283200
10,TSLA,2026-05-14 00:00:00-04:00,443.2999877929688,46070400
11,TSLA,2026-05-15 00:00:00-04:00,422.239990234375,52688700
12,TSLA,2026-05-18 00:00:00-04:00,409.989990234375,52474200
13,TSLA,2026-05-19 00:00:00-04:00,404.1099853515625,46500600
14,TSLA,2026-05-20 00:00:00-04:00,417.260009765625,45294700
15,TSLA,2026-05-21 00:00:00-04:00,417.8500061035156,42636900
16,TSLA,2026-05-22 00:00:00-04:00,426.010009765625,46104700
17,TSLA,2026-05-26 00:00:00-04:00,433.5899963378906,45658900
18,TSLA,2026-05-27 00:00:00-04:00,440.3599853515625,44656500
19,TSLA,2026-05-28 00:00:00-04:00,442.1000061035156,32435000
20,TSLA,2026-05-29 00:00:00-04:00,435.7900085449219,45176800
21,TSLA,2026-06-01 00:00:00-04:00,415.8800048828125,44937900
22,TSLA,2026-06-02 00:00:00-04:00,423.739990234375,37596000
23,TSLA,2026-06-03 00:00:00-04:00,423.7000122070313,44500700
24,TSLA,2026-06-04 00:00:00-04:00,418.4500122070313,35323300
25,TSLA,2026-06-05 00:00:00-04:00,391.0,63420200
26,TSLA,2026-06-08 00:00:00-04:00,408.9500122070313,50328800
27,TSLA,2026-06-09 00:00:00-04:00,396.6799926757813,59940200
28,TSLA,2026-06-10 00:00:00-04:00,381.5899963378906,49695600
29,TSLA,2026-06-11 00:00:00-04:00,399.1499938964844,45324300
30,TSLA,2026-06-12 00:00:00-04:00,406.4299926757813,63514500
124,TSLA,2026-06-16 00:00:00-04:00,407.0199890136719,24419030
